Time Lon Lat Dep(km) Mag
2022-01-11T12:39:31.515000Z -168.155 52.6047 11.23 6.6
2022-01-11T11:35:46.156000Z -167.9169 52.6563 22.32 6.8
2022-01-11T01:07:48.091000Z 31.9468 35.2331 21.0 6.6
2022-01-07T17:45:30.799000Z 101.2819 37.8253 13.0 6.6
2021-12-29T18:25:51.844000Z 127.5764 -7.5465 164.28 7.3
2021-12-14T03:20:23.917000Z 122.2273 -7.6046 15.06 7.3
2021-12-12T08:58:07.323000Z 154.1393 -60.7956 10.0 6.6
2021-11-29T12:40:49.000000Z 142.8 31.1 10.0 6.6
2021-11-28T10:52:14.652000Z -76.8109 -4.4528 126.0 7.5
2021-11-10T15:45:17.000000Z 126.4 23.7 10.0 6.6
2021-11-10T15:45:13.651000Z 126.4478 23.5934 12.0 6.6
2021-10-11T09:10:24.682000Z -156.5532 56.2584 69.1 6.9
2021-10-09T10:58:31.956000Z 174.5221 -21.1889 535.0 6.9
2021-10-02T06:29:17.897000Z 174.8958 -21.1265 527.0 7.3
2021-09-29T08:37:05.000000Z 153.5 45.8 401.2 6.5
2021-09-22T09:57:07.023000Z -87.8647 12.1396 21.0 6.5
2021-09-08T01:47:47.492000Z -99.7429 16.9722 20.0 7.0
2021-08-22T21:33:20.270000Z -24.8801 -60.2897 14.0 7.1
2021-08-22T00:45:08.588000Z -24.2444 -60.1421 11.2 6.6
2021-08-18T10:10:05.236000Z 167.0605 -14.8808 93.0 6.9
2021-08-16T11:10:36.568000Z -23.3552 -58.3686 16.61 6.9
2021-08-14T12:29:08.420000Z -73.4804 18.4167 10.0 7.2
2021-08-14T11:57:43.430000Z -157.6531 55.1733 20.68 6.9
2021-08-12T18:36:59.727000Z -26.4306 -59.9811 35.0 6.7
2021-08-12T18:35:20.989000Z -25.327 -58.4513 55.73 8.1
2021-08-12T18:32:52.464000Z -25.0316 -57.5674 47.23 7.5
2021-07-29T06:15:49.188000Z -157.8876 55.3635 35.0 8.2
2021-07-23T20:48:57.348000Z 120.7392 13.7007 110.0 6.7
2021-07-21T21:15:12.265000Z -82.7821 7.3902 10.0 6.7
2021-06-20T17:05:50.681000Z -177.8449 -30.2162 25.0 6.5
2021-05-21T22:13:18.379000Z -177.3725 -16.6009 10.0 6.5
2021-05-21T18:04:13.557000Z 98.2402 34.5884 10.0 7.3
2021-05-19T00:42:19.688000Z -109.3943 -33.0647 10.0 6.7
2021-05-14T06:33:07.879000Z 96.6442 0.1364 11.0 6.7
2021-05-12T14:05:15.667000Z 66.3135 -17.3874 10.0 6.7
2021-05-01T01:27:27.588000Z 141.6646 38.2296 47.3 6.8
2021-04-24T00:23:38.135000Z -176.2536 -18.8773 301.0 6.5
