Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,SAGE,00,0.9622,356.2736,5.6508,200,YES,0.9622
BK,SANG,00,358.9621,352.4288,5.4954,153,YES,1.0379
BK,SAO,00,356.2839,352.4042,0.1636,269,YES,3.7161
BK,SBAR,00,359.3667,350.7613,7.9722,76,YES,0.6333
BK,SCOT,00,354.2950,344.7510,3.8390,28,NO,5.7050
BK,SCZ,00,8.6664,355.2809,22.0518,114,NO,8.6664
BK,SEIA,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,SFRE,00,3.9921,357.6279,10.3563,51,YES,3.9921
BK,SHEP,00,356.2952,350.7259,1.8644,70,YES,3.7048
BK,SHWD,00,1.3577,353.0002,9.7152,42,YES,1.3577
BK,SIGP,00,21.1213,17.4009,24.8417,183,NO,21.1213
BK,SKGS,00,3.5501,356.7356,10.3646,42,YES,3.5501
BK,SNCR,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,SPAN,00,0.4592,355.5786,5.3398,9,YES,0.4592
BK,SPRL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,SUGR,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,SUTB,00,3.5079,357.5366,9.4793,84,YES,3.5079
BK,SWNM,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TCHL,00,6.8161,357.4676,16.1646,58,NO,6.8161
BK,TESL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,THIS,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,THOM,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TOLH,00,3.4123,356.8557,9.9689,215,YES,3.4123
BK,TRAM,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TRIN,00,357.1686,350.6555,3.6817,44,YES,2.8314
BK,TSCN,00,1.3975,358.1335,4.6614,426,YES,1.3975
BK,TULE,00,19.2100,13.4355,24.9846,155,NO,19.2100
BK,TUMY,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TWIT,00,13.4115,9.1142,17.7087,114,NO,13.4115
BK,UKON,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,UMUN,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,USAL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,VAK,00,0.1321,356.5119,3.7524,318,YES,0.1321
BK,WDC,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,WEAV,00,359.3907,354.2438,4.5377,200,YES,0.6093
BK,WEBR,00,356.3229,338.9324,13.7133,16,YES,3.6771
BK,WELL,00,3.6351,358.9958,8.2744,263,YES,3.6351
BK,WENL,00,3.7914,351.8980,15.6848,97,YES,3.7914
BK,WHCL,00,359.3109,347.8674,10.7544,8,YES,0.6891
BK,WHMT,00,358.9406,353.9724,3.9087,69,YES,1.0594
BK,WINE,00,15.4605,11.5614,19.3597,389,NO,15.4605
BK,WLKR,00,350.3733,342.0248,358.7218,10,NO,9.6267
BK,WROK,00,359.3566,354.8746,3.8386,267,YES,0.6434
BK,WSRE,00,1.4390,356.8100,6.0680,218,YES,1.4390
BK,WTWN,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,YBH,00,356.3582,347.7913,4.9250,118,YES,3.6418
BK,YUBA,00,16.7945,12.9043,20.6847,275,NO,16.7945
