Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,OVRO,00,4.9089,354.0355,15.7824,106,YES,4.9089
BK,OXMT,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,PABC,00,2.1487,356.0413,8.2561,161,YES,2.1487
BK,PACP,00,1.1802,354.2031,8.1574,58,YES,1.1802
BK,PATT,00,5.9129,355.7429,16.0830,109,NO,5.9129
BK,PBDB,00,3.5050,358.1815,8.8285,109,YES,3.5050
BK,PESC,00,356.9647,353.0048,0.9245,173,YES,3.0353
BK,PETL,00,2.2539,356.7694,7.7383,133,YES,2.2539
BK,PETY,00,359.6429,352.3956,6.8902,60,YES,0.3571
BK,PINL,00,5.1422,358.8056,11.4789,141,NO,5.1422
BK,PIT6,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,PKD,00,0.8603,355.8713,5.8494,170,YES,0.8603
BK,PORC,00,1.0303,354.7748,7.2859,119,YES,1.0303
BK,PORG,00,43.7231,39.9882,47.4580,7,NO,43.7231
BK,PRDS,00,1.6463,356.2318,7.0608,124,YES,1.6463
BK,PVSP,00,0.2943,354.6832,5.9054,100,YES,0.2943
BK,PWAY,00,1.2187,355.6301,6.8072,97,YES,1.2187
BK,PWOD,00,2.0549,357.2998,6.8100,181,YES,2.0549
BK,QRDG,00,2.6502,358.0201,7.2804,134,YES,2.6502
BK,RAMR,00,0.4468,349.7827,11.1109,133,YES,0.4468
BK,RAVE,00,358.6417,353.1920,4.0915,154,YES,1.3583
BK,RBOW,00,1.6589,356.1181,7.1997,115,YES,1.6589
BK,RCAN,00,1.9567,349.7653,14.1482,20,YES,1.9567
BK,RIMR,00,1.0884,355.1753,7.0015,142,YES,1.0884
BK,ROMB,00,1.7781,356.8250,6.7312,119,YES,1.7781
BK,RUSS,00,359.5912,354.1899,4.9925,81,YES,0.4088
BK,RVIT,00,0.5791,352.1123,9.0459,37,YES,0.5791
BK,RVRP,00,359.4560,355.0058,3.9061,131,YES,0.5440
BK,SAGE,00,2.4092,356.7345,8.0839,83,YES,2.4092
BK,SANG,00,0.0186,354.4633,5.5740,123,YES,0.0186
BK,SAO,00,357.8393,351.9010,3.7775,90,YES,2.1607
BK,SBAR,00,1.1437,350.8436,11.4437,63,YES,1.1437
BK,SCOT,00,1.5635,351.9725,11.1545,67,YES,1.5635
BK,SCZ,00,15.8208,353.2996,38.3420,34,NO,15.8208
BK,SEIA,00,356.8903,344.2158,9.5649,54,YES,3.1097
BK,SFRE,00,0.7183,355.1888,6.2477,89,YES,0.7183
BK,SHEP,00,0.0912,354.8227,5.3598,114,YES,0.0912
BK,SHWD,00,1.1937,356.6956,5.6918,150,YES,1.1937
BK,SIGP,00,12.0336,358.9989,25.0683,88,NO,12.0336
BK,SKGS,00,2.9441,357.9532,7.9349,143,YES,2.9441
BK,SNCR,00,4.0641,356.9236,11.2046,67,YES,4.0641
BK,SPAN,00,357.6848,352.9483,2.4213,170,YES,2.3152
BK,SPRL,00,1.1497,356.3749,5.9245,142,YES,1.1497
BK,SUGR,00,2.7202,356.8436,8.5967,84,YES,2.7202
BK,SUTB,00,2.8907,358.0960,7.6854,153,YES,2.8907
BK,SWNM,00,358.8265,351.6614,5.9915,63,YES,1.1735
BK,TCHL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TESL,00,358.6960,354.4051,2.9869,128,YES,1.3040
BK,THIS,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,THOM,00,1.2191,345.1212,17.3170,39,YES,1.2191
BK,TOLH,00,6.1948,355.8694,16.5202,126,NO,6.1948
BK,TRAM,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,TRIN,00,359.2852,351.0644,7.5060,50,YES,0.7148
BK,TSCN,00,0.9343,355.6482,6.2204,170,YES,0.9343
BK,TULE,00,0.9161,350.7130,11.1192,55,YES,0.9161
BK,TUMY,00,1.1915,354.8810,7.5019,103,YES,1.1915
BK,TWIT,00,9.6834,3.1197,16.2470,51,NO,9.6834
BK,UKON,00,0.2896,351.8952,8.6841,57,YES,0.2896
BK,UMUN,00,359.1966,355.0920,3.3012,123,YES,0.8034
BK,USAL,00,2.2391,357.9130,6.5652,148,YES,2.2391
BK,VAK,00,0.1663,356.1286,4.2040,164,YES,0.1663
BK,WDC,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,WEAV,00,358.9408,351.6613,6.2202,64,YES,1.0592
BK,WEBR,00,0.1929,355.9490,4.4368,108,YES,0.1929
BK,WELL,00,4.7953,357.3324,12.2583,92,YES,4.7953
BK,WENL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,WHCL,00,1.7736,356.0206,7.5266,150,YES,1.7736
BK,WHMT,00,0.3493,355.2197,5.4788,125,YES,0.3493
BK,WINE,00,8.4073,1.6747,15.1399,142,NO,8.4073
BK,WLKR,00,357.0348,351.9721,2.0975,130,YES,2.9652
BK,WROK,00,1.2753,356.0131,6.5376,181,YES,1.2753
BK,WSRE,00,0.2636,356.0810,4.4462,134,YES,0.2636
BK,WTWN,00,28.2567,333.9331,82.5802,27,NO,28.2567
BK,YBH,00,359.5660,353.3878,5.7442,124,YES,0.4340
BK,YUBA,00,16.6159,11.4889,21.7430,124,NO,16.6159
